timestamp,time_elapsed,host_name,event_name,cpu_id,procname,process_details,kernel_details
'06:13:02.232233698,1.25e-07,mendax,syscall_exit_ioctl,0.0,lttng-consumerd,"pid = 14323, tid = 14330","ret = 0, arg = 275115444656760"
'06:13:02.232233823,1.25e-07,mendax,syscall_entry_ioctl,0.0,lttng-consumerd,"pid = 14323, tid = 14330","fd = 34, cmd = 2148070925, arg = 275115444656768"
'06:13:02.232233948,1.25e-07,mendax,syscall_exit_ioctl,0.0,lttng-consumerd,"pid = 14323, tid = 14330","ret = 0, arg = 275115444656768"
'06:13:02.232234114,1.66e-07,mendax,syscall_entry_ioctl,0.0,lttng-consumerd,"pid = 14323, tid = 14330","fd = 34, cmd = 2148070923, arg = 275115444656688"
'06:13:02.232234239,1.25e-07,mendax,syscall_exit_ioctl,0.0,lttng-consumerd,"pid = 14323, tid = 14330","ret = 0, arg = 275115444656688"
'06:13:02.232234489,2.5e-07,mendax,syscall_entry_write,0.0,lttng-consumerd,"pid = 14323, tid = 14330","fd = 35, buf = 275115481837568, count = 4096"
'06:13:02.232236239,1.75e-06,mendax,syscall_exit_write,0.0,lttng-consumerd,"pid = 14323, tid = 14330",ret = 4096
'06:13:02.232236447,2.08e-07,mendax,syscall_entry_sync_file_range,0.0,lttng-consumerd,"pid = 14323, tid = 14330","fd = 35, offset = 143360, nbytes = 4096, flags = 2"
'06:13:02.232244864,8.417e-06,mendax,syscall_exit_sync_file_range,0.0,lttng-consumerd,"pid = 14323, tid = 14330",ret = 0
'06:13:02.232245322,4.58e-07,mendax,syscall_entry_sync_file_range,0.0,lttng-consumerd,"pid = 14323, tid = 14330","fd = 35, offset = 139264, nbytes = 4096, flags = 7"
'06:13:02.232245572,2.5e-07,mendax,syscall_exit_sync_file_range,0.0,lttng-consumerd,"pid = 14323, tid = 14330",ret = 0
'06:13:02.232245822,2.5e-07,mendax,syscall_entry_fadvise64_64,0.0,lttng-consumerd,"pid = 14323, tid = 14330","fd = 35, offset = 139264, len = 4096, advice = 4"
'06:13:02.232246697,8.75e-07,mendax,syscall_exit_fadvise64_64,0.0,lttng-consumerd,"pid = 14323, tid = 14330","ret = 0, fd = 35, offset = 139264, len = 4096, advice = 4"
