timestamp,time_elapsed,host_name,event_name,cpu_id,process_details,kernel_details
06:14:15.123456789,(++0.000005678),synthetic-host,syscall_entry_read,1,"procname = nginx, pid = 12542, tid = 12543","fd = 34, buf = 123456789012345, count = 1024"
06:15:45.789012345,(++0.000004321),synthetic-host,syscall_entry_open,0,"procname = sshd, pid = 13201, tid = 13202","filename = /etc/ssh/sshd_config, flags = 0x0, mode = 0x1b6"
06:22:18.342789123,(++0.000007412),synthetic-host,syscall_entry_read,1,"procname = nginx, pid = 13876, tid = 13877","fd = 45, buf = 987654321098765, count = 512"
06:25:17.456789123,(++0.000006789),synthetic-host,syscall_entry_write,3,"procname = nginx, pid = 14567, tid = 14568","fd = 40, buf = 987654321012345, count = 512"
06:30:12.123456789,(++0.000005678),synthetic-host,syscall_entry_read,1,"procname = nginx, pid = 13579, tid = 13580","fd = 27, buf = 987654321012345, count = 2048"
06:45:22.123456789,(++0.000006789),synthetic-host,syscall_entry_read,2,"procname = nginx, pid = 15234, tid = 15235","fd = 45, buf = 987654321098765, count = 2048"
06:47:10.567894321,(++0.000006321),synthetic-host,syscall_entry_read,2,"procname = nginx, pid = 15321, tid = 15322","fd = 47, buf = 314159265358979, count = 1024"
06:48:03.456789123,(++0.000007123),synthetic-host,syscall_entry_read,1,"procname = nginx, pid = 16021, tid = 16022","fd = 48, buf = 123456789012346, count = 1024"
06:53:22.123456789,(++0.000005432),synthetic-host,syscall_entry_write,2,"procname = nginx, pid = 16234, tid = 16235","fd = 50, buf = 123456789098765, count = 1024"
06:56:11.345678912,(++0.000006512),synthetic-host,syscall_entry_write,1,"procname = nginx, pid = 17001, tid = 17002","fd = 55, buf = 123456789012347, count = 2048"
06:50:22.987654321,(++0.000006500),synthetic-host,syscall_entry_open,0,"procname = sshd, pid = 13456, tid = 13457","filename = /etc/passwd, flags = 0x0, mode = 0x1b6"
06:13:02.227946563,(++0.000008417),synthetic-host,syscall_entry_read,3,"procname = nginx, pid = 12542, tid = 12543","fd = 34, buf = 314159265358979, count = 1024"
