"timestamp","time_elapsed","host_name","event_name","cpu_id","procname","process_details","kernel_details"
"'12:34:56.100001234","'0.000001234","synthetic-host","syscall_entry_open",3,"nginx","pid = 1234, tid = 1234","filename = /etc/nginx/nginx.conf, flags = 524288, mode = 0"
"'12:34:56.100002500","'0.000001266","synthetic-host","syscall_exit_open",3,"nginx","pid = 1234, tid = 1234","ret = 3"
"'12:34:56.100010000","'0.000007500","synthetic-host","syscall_entry_read",3,"nginx","pid = 1234, tid = 1234","fd = 3, buf = 129003452, count = 512"
"'12:34:56.100011111","'0.000001111","synthetic-host","syscall_exit_read",3,"nginx","pid = 1234, tid = 1234","ret = 512, buf = 129003452"
"'12:34:56.100020000","'0.000008889","synthetic-host","syscall_entry_close",3,"nginx","pid = 1234, tid = 1234","fd = 3"
"'12:34:56.100020900","'0.000000900","synthetic-host","syscall_exit_close",3,"nginx","pid = 1234, tid = 1234","ret = 0"
"'12:34:56.100030000","'0.000009100","synthetic-host","syscall_entry_socket",1,"python3","pid = 4321, tid = 4321","family = 2, type = 1, protocol = 0"
"'12:34:56.100031234","'0.000001234","synthetic-host","syscall_exit_socket",1,"python3","pid = 4321, tid = 4321","ret = 4"
"'12:34:56.100040000","'0.000008766","synthetic-host","syscall_entry_connect",1,"python3","pid = 4321, tid = 4321","fd = 4, uservaddr = 140563028711616, addrlen = 16"
"'12:34:56.100041111","'0.000001111","synthetic-host","syscall_exit_connect",1,"python3","pid = 4321, tid = 4321","ret = 0"
"'12:34:56.100050321","'0.000009210","synthetic-host","syscall_entry_sendto",4,"curl","pid = 5678, tid = 5678","fd = 3, buff = 140735585344256, len = 128, flags = 0, addr = 0, addr_len = 0"
"'12:34:56.100051789","'0.000001468","synthetic-host","syscall_exit_sendto",4,"curl","pid = 5678, tid = 5678","ret = 128"
"'12:34:56.100060000","'0.000008211","synthetic-host","syscall_entry_recvfrom",4,"curl","pid = 5678, tid = 5678","fd = 3, size = 256, flags = 0, addr_len = 0"
"'12:34:56.100061111","'0.000001111","synthetic-host","syscall_exit_recvfrom",4,"curl","pid = 5678, tid = 5678","ret = 256, ubuf = 140735585344512, addr = 0, addr_len = 0"
"'12:34:56.100070321","'0.000009210","synthetic-host","syscall_entry_accept",2,"sshd","pid = 6789, tid = 6790","fd = 5, flags = 0"
"'12:34:56.100071654","'0.000001333","synthetic-host","syscall_exit_accept",2,"sshd","pid = 6789, tid = 6790","ret = 6, upeer_sockaddr = 140735585345120, upeer_addrlen = 32"
"'12:34:56.100080000","'0.000008346","synthetic-host","syscall_entry_setsockopt",2,"sshd","pid = 6789, tid = 6790","fd = 6, level = 1, optname = 2, optval = 140735585345056, optlen = 4"
"'12:34:56.100081200","'0.000001200","synthetic-host","syscall_exit_setsockopt",2,"sshd","pid = 6789, tid = 6790","ret = 0"
"'12:34:56.100090321","'0.000009121","synthetic-host","syscall_entry_getsockopt",2,"sshd","pid = 6789, tid = 6790","fd = 6, level = 1, optname = 2, optlen = 140735585344800"
"'12:34:56.100091432","'0.000001111","synthetic-host","syscall_exit_getsockopt",2,"sshd","pid = 6789, tid = 6790","ret = 1, optval = 1, optlen = 4"
"'12:34:56.100100000","'0.000008568","synthetic-host","syscall_entry_futex",0,"systemd","pid = 2345, tid = 2345","uaddr = 140735585346000, op = 0, val = 1, utime = 0, uaddr2 = 0, val3 = 0"
"'12:34:56.100101123","'0.000001123","synthetic-host","syscall_exit_futex",0,"systemd","pid = 2345, tid = 2345","ret = 0, uaddr = 140735585346000, uaddr2 = 0"
"'12:34:56.100110000","'0.000008877","synthetic-host","syscall_entry_fcntl",5,"redis-server","pid = 3456, tid = 3456","fd = 4, cmd = 2, arg = 256"
"'12:34:56.100111234","'0.000001234","synthetic-host","syscall_exit_fcntl",5,"redis-server","pid = 3456, tid = 3456","ret = 0, arg = 256"
"'12:34:56.100120000","'0.000008766","synthetic-host","syscall_entry_mmap",6,"docker","pid = 4567, tid = 4568","addr = 0x0, len = 4096, prot = 3, flags = 34, fd = -1, offset = 0"
"'12:34:56.100121345","'0.000001345","synthetic-host","syscall_exit_mmap",6,"docker","pid = 4567, tid = 4568","ret = 0x7f8bafa12000"
"'12:34:56.100130000","'0.000008655","synthetic-host","syscall_entry_munmap",6,"docker","pid = 4567, tid = 4568","addr = 140735585347000, len = 4096"
"'12:34:56.100131555","'0.000001555","synthetic-host","syscall_exit_munmap",6,"docker","pid = 4567, tid = 4568","ret = 0"
"'12:34:56.100140000","'0.000008445","synthetic-host","syscall_entry_mprotect",6,"docker","pid = 4567, tid = 4568","start = 140735585347000, len = 4096, prot = 1"
"'12:34:56.100141234","'0.000001234","synthetic-host","syscall_exit_mprotect",6,"docker","pid = 4567, tid = 4568","ret = 0"
"'12:34:56.100150000","'0.000008766","synthetic-host","syscall_entry_brk",1,"apt","pid = 1111, tid = 1111","brk = 140735594000000"
"'12:34:56.100151111","'0.000001111","synthetic-host","syscall_exit_brk",1,"apt","pid = 1111, tid = 1111","ret = 140735594000000"
"'12:34:56.100160000","'0.000008889","synthetic-host","syscall_entry_lseek",0,"bash","pid = 2222, tid = 2222","fd = 5, offset = -1000, whence = 1"
"'12:34:56.100161222","'0.000001222","synthetic-host","syscall_exit_lseek",0,"bash","pid = 2222, tid = 2222","ret = 1024"
"'12:34:56.100170000","'0.000008778","synthetic-host","syscall_exit_getpid",0,"bash","pid = 2222, tid = 2222","ret = 2222"
"'12:34:56.100171111","'0.000001111","synthetic-host","syscall_entry_openat",0,"mysql","pid = 7777, tid = 7777","dfd = -100, filename = /var/lib/mysql/mysql.sock, flags = 0, mode = 0"
"'12:34:56.100180000","'0.000008889","synthetic-host","syscall_exit_openat",0,"mysql","pid = 7777, tid = 7777","ret = 7"
"'12:34:56.100181234","'0.000001234","synthetic-host","syscall_entry_execve",1,"postgres","pid = 8888, tid = 8888","filename = /usr/lib/postgresql/12/bin/postgres, argv = 140735594123456, envp = 140735594123344"
"'12:34:56.100190000","'0.000008766","synthetic-host","syscall_exit_execve",1,"postgres","pid = 8888, tid = 8888","ret = 0"
"'12:34:56.100191345","'0.000001345","synthetic-host","syscall_entry_write",7,"node","pid = 9999, tid = 10000","fd = 1, buf = 140735594124000, count = 1024"
"'12:34:56.100200000","'0.000008655","synthetic-host","syscall_exit_write",7,"node","pid = 9999, tid = 10000","ret = 1024"
"'12:34:56.100201234","'0.000001234","synthetic-host","syscall_entry_epoll_wait",5,"gnome-shell","pid = 1112, tid = 1112","epfd = 8, events = 140735594125000, maxevents = 128, timeout = -1"
